City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
574,Linden,GY,75.2,scattered clouds,6.0,-58.3,Crimson Bat Hotel
575,Puerto Leguizamo,CO,71.62,moderate rain,-0.19,-74.78,la casona de juancho
580,Beroroha,MG,76.06,clear sky,-21.67,45.17,
582,Chicama,PE,65.48,scattered clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
587,Miragoane,HT,81.05,light rain,18.44,-73.09,MMM K-TICHON
588,Puerto Escondido,MX,80.44,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
590,Ahipara,NZ,67.39,light rain,-35.17,173.17,Ahipara Holiday Park
596,Lucapa,AO,67.91,overcast clouds,-8.42,20.74,Residência Ulisses Dos Santos
597,Teshie,GH,78.8,few clouds,5.58,-0.11,ANAIVEH SERVICES
598,Champasak,LA,84.2,scattered clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
604,Westport,US,66.2,overcast clouds,41.14,-73.36,The Westport Inn
611,Kovur,IN,83.35,overcast clouds,14.48,79.98,Pleasant Stay
612,Dayong,CN,77.0,clear sky,25.02,118.29,Haiyue Express Hotel
615,Fare,PF,79.83,few clouds,-16.7,-151.02,Maitai Lapita Village Huahine
617,Kidal,ML,81.84,clear sky,18.44,1.41,
622,Acapulco,MX,80.1,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
623,Teguise,ES,66.2,clear sky,29.06,-13.56,B&B La Casona de Nazaret
624,Sumbe,AO,75.13,overcast clouds,-11.21,13.84,Hotel Ritz Sumbe
625,Tuy Hoa,VN,81.9,broken clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
628,Naze,JP,73.4,broken clouds,28.37,129.48,奄美ポートタワーホテル
629,San Andres,CO,77.0,scattered clouds,12.58,-81.7,Hotel Arena Blanca
631,Narasannapeta,IN,84.27,overcast clouds,18.42,84.05,G.lingaraju home
635,Portales,US,69.8,dust,34.19,-103.33,Holiday Inn Express & Suites Portales
636,Mogadishu,SO,80.94,broken clouds,2.04,45.34,Hotel Juba
639,Santa Fe,AR,71.01,moderate rain,-31.63,-60.7,Conquistador Hotel
640,Palmer,US,66.0,broken clouds,42.16,-72.33,Wedgewood Motel
641,Lardos,GR,66.2,few clouds,36.09,28.02,Lindos Princess Beach Hotel
643,Adre,TD,72.75,clear sky,13.47,22.2,
645,Pedernales,DO,81.48,overcast clouds,18.04,-71.74,Hotel Costa Marina
646,Takoradi,GH,76.69,light rain,4.88,-1.76,Raybow International Hotel
647,Barkly West,ZA,73.4,clear sky,-28.54,24.52,Stafford Parker Guest House
649,Maryborough,AU,82.09,few clouds,-25.53,152.7,Blue Shades Motel
650,Sungaipenuh,ID,74.73,overcast clouds,-2.08,101.38,Hotel Jaya Wisata 2
654,Jamame,SO,81.45,overcast clouds,0.07,42.75,
659,Lodja,CD,68.65,light rain,-3.48,23.43,
663,Tual,ID,82.81,clear sky,-5.67,132.75,Grand Vilia Hotel
664,Sola,VU,78.8,moderate rain,-13.88,167.55,Ulkel Guest House
665,Yuanli,TW,66.99,moderate rain,24.44,120.65,東里家風古厝民宿
671,Nadapuram,IN,77.0,mist,11.7,75.67,Fabina Garden
675,San,ML,80.47,clear sky,13.3,-4.9,Hôtel Teriya
683,Beloha,MG,73.38,clear sky,-25.17,45.05,
684,Avera,US,71.6,overcast clouds,33.19,-82.53,
689,Obregon,NI,78.8,scattered clouds,11.96,-85.96,Hostal Casa Aryen
690,Japura,ID,83.12,overcast clouds,-0.32,102.35,Rumah mbah Jamah
691,Nautla,MX,76.03,clear sky,20.22,-96.78,Casa Blanca
692,Codajas,BR,75.96,light rain,-3.84,-62.06,Hotel Tamires
696,Tirodi,IN,79.81,clear sky,21.68,79.7,Sameer Ali
697,Tahmek,MX,80.01,scattered clouds,20.88,-89.27,Hacienda San Jose Poniente
699,Rawson,AR,65.08,clear sky,-43.3,-65.1,Hotel Punta León
701,Pozo Colorado,PY,73.81,few clouds,-23.49,-58.8,Hospedaje la Amistad
